title	type	price	sale	quantity	code	category	curr_value
Jamieson Vit C 500mg chew-tangy orange №120 зажилдаг шахмал		31'400.00	(3.0% Off)		500363		31'400.00 ₮
Гастробене бэби №10 саше Danhson BG		17'500.00	(3.0% Off)		500363		17'500.00 ₮
Гастробене плюс №18 зажилдаг шахмал Danhson BG		20'200.00	(3.0% Off)		500363		20'200.00 ₮
Jamieson 100% COMPLETE MULTIVITAMIN | MEN №90 капсул		54'600.00	(3.0% Off)		500363		54'600.00 ₮
Jamieson 100% COMPLETE MULTIVITAMIN | MEN 50+ №90 капсул		54'800.00	(3.0% Off)		500363		54'800.00 ₮
Туссимонт сироп 100мл Монгол Эм Импекс Концерн		18'400.00	(6.0% Off)		500363		18'400.00 ₮
Милк Тистл №60 шахмал Монгол Эм Импекс Концерн		85'000.00	(6.0% Off)		500363		85'000.00 ₮
Jamieson Collagen anti wrinkle №60 Монгол Эм Импекс Концерн		46'500.00	(3.0% Off)		500363		46'500.00 ₮
Jamieson GORGEOUS HAIR №60		55'300.00	(3.0% Off)		500363		55'300.00 ₮
Global White Шүдний утас /минт/ Global Dent LLC		15'400.00	(3.0% Off)		500363		15'400.00 ₮
Global White Шүдний утас /тарвас/ Global Dent LLC		15'400.00	(3.0% Off)		500363		15'400.00 ₮
BioNike Defence Cleansing milk		47'800.00	(3.0% Off)		500363		47'800.00 ₮
Jamieson GINKGO BILOBA №60+30		55'800.00	(3.0% Off)		500363		55'800.00 ₮
Нэг удаагийн тариур 5гр Монгол Эм Импекс Концерн		300.00	(3.0% Off)		500363		300.00 ₮
Лидокайн /катеджель/ 12.5гр Монгол Эм Импекс Концерн		6'800.00	(6.0% Off)		500363		6'800.00 ₮
Леди кит №1 Монгол Эм Импекс Концерн		11'900.00	(6.0% Off)		500363		11'900.00 ₮
Бароскон 10мл №24 хөвмөл Yungjin pharm		42'900.00	(6.0% Off)		500363		42'900.00 ₮
Амбис 120мг №40 бүрхүүлтэй шахмал Монгол Эм Импекс Концерн		17'500.00	(6.0% Off)		500363		17'500.00 ₮
Ай Рич 15мл нүдний дусаалга Монгол Эм Импекс Концерн		17'100.00	(6.0% Off)		500363		17'100.00 ₮
Pic Даралтын аппарат /BPM LITERAPID/		118'400.00	(3.0% Off)		500363		118'400.00 ₮
Jamieson Омега 3 700мг №100 Монгол Эм Импекс Концерн		59'900.00	(3.0% Off)		500363		59'900.00 ₮
Jamieson Cranberry 500мг №60 Монгол Эм Импекс Концерн		42'200.00	(3.0% Off)		500363		42'200.00 ₮
Chicco Шүдний сойз ягаан 6m+		11'100.00	(3.0% Off)		500363		11'100.00 ₮
Chicco Шүдний ОО гаатай 6+ нас фтортой		12'000.00	(3.0% Off)		500363		12'000.00 ₮
Chicco Хүүхдийн шүдний ком ягаан		30'100.00	(3.0% Off)		500363		30'100.00 ₮
Jamieson Омега-3 комплекс OMEGA-3 COMPLEX | WILD SALMON & FISH OILS №180+20		76'100.00	(3.0% Off)		500363		76'100.00 ₮
Jamieson Цайр 10мг №100 Монгол Эм Импекс Концерн		25'500.00	(3.0% Off)		500363		25'500.00 ₮
Jamieson Витамин Д 1000 ОУН №240 Монгол Эм Импекс Концерн		28'100.00	(3.0% Off)		500363		28'100.00 ₮
Jamieson Витамин в комплекс 100мг №60 Монгол Эм Импекс Концерн		42'500.00	(3.0% Off)		500363		42'500.00 ₮
YBSKINEVER Витамин C серум 30мл /Vitamin C serum 20/		85'200.00	(3.0% Off)		500363		85'200.00 ₮
YBSKINEVER Эрчимтэй чийгшүүлэх нөхөн сэргээх нүүрний маск 30гр /Rehydration Mask/		5'700.00	(3.0% Off)		500363		5'700.00 ₮
Chicco Шүдний сойз цэнхэр 6m+		11'100.00	(3.0% Off)		500363		11'100.00 ₮
Chicco Шүдний сойз ногоон 6m+		11'100.00	(3.0% Off)		500363		11'100.00 ₮
Игнис №10 аманд уусдаг ялтас Kwang Dong		59'000.00	(3.0% Off)		500363		59'000.00 ₮
Power 100мл шар тайлах бэлдмэл Kwang Dong		8'500.00	(3.0% Off)		500363		8'500.00 ₮
Global White Шүдний утас /минт/ Global Dent LLC		15'400.00	(3.0% Off)		500363		15'400.00 ₮
Global White Шүдний утас /тарвас/ Global Dent LLC		15'400.00	(3.0% Off)		500363		15'400.00 ₮
Chicco BM Шампунь үс+бие Body wash and shampoo 750мл		27'600.00	(3.0% Off)		500363		27'600.00 ₮
BioNike Defence Cleansing milk		47'800.00	(3.0% Off)		500363		47'800.00 ₮
BioNike Defence B-Lucent day peel illuminating cream cleaner 150ml		56'300.00	(3.0% Off)		500363		56'300.00 ₮
Myhepall 400мг/100мг №28 бүрхүүлтэй шахмал Mylan		372'000.00	(6.0% Off)		500363		372'000.00 ₮
Jamieson GINKGO BILOBA №60+30		55'800.00	(3.0% Off)		500363		55'800.00 ₮
Jamieson MULTIVITAMINS FOR WOMEN | GUMMIES №130		72'200.00	(3.0% Off)		500363		72'200.00 ₮
Jamieson POWER FOR MEN №60 капсул		44'600.00	(3.0% Off)		500363		44'600.00 ₮
Jamieson PROSTEASE SAW PALMETTO №30+30		59'800.00	(3.0% Off)		500363		59'800.00 ₮
Jamieson 10 тэрбум пробиотик PROBIOTIC | 10 BILLION №60		69'200.00	(3.0% Off)		500363		69'200.00 ₮
